Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Impact,Bowling_Impact,Total_Impact,Player_Role
2018.0,Suryakumar Yadav,14.0,0.0,512.0,72,36.57,384.0,133.33,0.0,4.0,61.0,16.0,8.0,0.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.052495238095238,7.0,14.052495238095238,All-rounder
2017.0,Suryakumar Yadav,10.0,1.0,105.0,31,17.5,88.0,119.31,0.0,0.0,8.0,3.0,5.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.5816,7.0,11.5816,Bowler
2016.0,Suryakumar Yadav,15.0,4.0,182.0,60,26.0,143.0,127.27,0.0,1.0,18.0,5.0,6.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.6072,7.0,12.607199999999999,Bowler
2015.0,Suryakumar Yadav,13.0,4.0,157.0,46*,17.44,113.0,138.93,0.0,0.0,12.0,8.0,7.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.1000000000000005,7.0,12.100000000000001,Bowler
2014.0,Suryakumar Yadav,16.0,5.0,164.0,34,32.8,117.0,140.17,0.0,0.0,16.0,5.0,7.0,0.0,16.0,6.0,8.0,0.0,0/8,0.0,8.0,0.0,0.0,0.0,6.361866666666666,6.0,12.361866666666666,All-rounder
2012.0,Suryakumar Yadav,1.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
,Suryansh Shedge,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Suyash Sharma,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,24.0,51.0,0.0,0/18,0.0,12.75,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2023.0,Suyash Sharma,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,234.0,321.0,10.0,3/30,32.1,8.23,23.4,0.0,0.0,0.0,4.828636363636363,4.828636363636363,Bowler
2024.0,Swapnil Singh,7.0,3.0,37.0,15*,18.5,21.0,176.19,0.0,0.0,3.0,3.0,2.0,0.0,7.0,90.0,133.0,6.0,2/28,22.17,8.87,15.0,0.0,0.0,5.48,6.416714285714286,11.896714285714285,Bowler
2023.0,Swapnil Singh,2.0,1.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,18.0,0.0,0/7,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
,Swastik Chhikara,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,T Natarajan,14.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,308.0,465.0,19.0,4/19,24.47,9.06,16.21,1.0,0.0,0.0,6.611714285714287,6.611714285714287,Bowler
2023.0,T Natarajan,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,270.0,410.0,10.0,2/23,41.0,9.11,27.0,0.0,0.0,0.0,2.6950000000000003,2.6950000000000003,Unknown
2022.0,T Natarajan,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,258.0,406.0,18.0,3/10,22.56,9.44,14.33,0.0,0.0,0.0,7.222545454545456,7.222545454545456,Bowler
2021.0,T Natarajan,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,69.0,2.0,1/32,34.5,8.62,24.0,0.0,0.0,0.0,0.0,0.0,Unknown
